Date,Institutional Net,Retail Net
2025-01-07,1518211,1804592
2025-01-14,1507218,1787732
2025-01-21,1477495,1772654
2025-01-28,1474950,1780499
2025-02-04,1528287,1765122
2025-02-11,1540675,1762856
2025-02-18,1558067,1807548
2025-02-25,1549840,1825923
2025-03-04,1605650,1814434
2025-03-11,1687968,1903723
2025-03-18,1968240,2217710
2025-03-25,1571857,1810597
2025-04-01,1612886,1811384
2025-04-08,1826946,2011351
2025-04-15,1710054,1927702
2025-04-22,1736766,1948726
2025-04-29,1652640,1893988
2025-05-06,1659030,1882301
2025-05-13,1625334,1882599
2025-05-20,1634580,1867080
